qsort:  0 ,Sort: 0 ,Merge: 0
qsort:  0 ,Sort: 0 ,Merge: 0
qsort:  0.002 ,Sort: 0.001 ,Merge: 0.001
qsort:  0.002 ,Sort: 0 ,Merge: 0.003
qsort:  0 ,Sort: 0.002 ,Merge: 0.003
qsort:  0 ,Sort: 0 ,Merge: 0.001
qsort:  0 ,Sort: 0.004 ,Merge: 0
qsort:  0 ,Sort: 0.003 ,Merge: 0.005
qsort:  0.003 ,Sort: 0.003 ,Merge: 0.005
qsort:  0.003 ,Sort: 0 ,Merge: 0
qsort:  0.003 ,Sort: 0.005 ,Merge: 0.001
qsort:  0.005 ,Sort: 0.004 ,Merge: 0.008
qsort:  0.003 ,Sort: 0.004 ,Merge: 0.005
qsort:  0.001 ,Sort: 0.002 ,Merge: 0.006
qsort:  0 ,Sort: 0.008 ,Merge: 0.004
qsort:  0 ,Sort: 0.003 ,Merge: 0.008
qsort:  0.005 ,Sort: 0.003 ,Merge: 0.009
qsort:  0 ,Sort: 0 ,Merge: 0.007
qsort:  0.004 ,Sort: 0 ,Merge: 0.01
qsort:  0 ,Sort: 0.001 ,Merge: 0.009
qsort:  0.004 ,Sort: 0.002 ,Merge: 0.009
qsort:  0 ,Sort: 0.004 ,Merge: 0.001
qsort:  0.001 ,Sort: 0.002 ,Merge: 0.004
qsort:  0 ,Sort: 0.006 ,Merge: 0.01
qsort:  0 ,Sort: 0 ,Merge: 0.006
qsort:  0 ,Sort: 0 ,Merge: 0.008
qsort:  0.003 ,Sort: 0.004 ,Merge: 0.009
qsort:  0.004 ,Sort: 0.007 ,Merge: 0.004
qsort:  0 ,Sort: 0.001 ,Merge: 0.006
qsort:  0.001 ,Sort: 0 ,Merge: 0.01
qsort:  0.001 ,Sort: 0.006 ,Merge: 0.008
qsort:  0 ,Sort: 0.009 ,Merge: 0.019
qsort:  0.001 ,Sort: 0.008 ,Merge: 0.012
qsort:  0.001 ,Sort: 0.004 ,Merge: 0.007
qsort:  0.006 ,Sort: 0.009 ,Merge: 0.008
qsort:  0.007 ,Sort: 0.004 ,Merge: 0.01
qsort:  0 ,Sort: 0.006 ,Merge: 0.009
qsort:  0 ,Sort: 0.009 ,Merge: 0.01
qsort:  0 ,Sort: 0.009 ,Merge: 0.013
qsort:  0.01 ,Sort: 0.009 ,Merge: 0.02
qsort:  0.007 ,Sort: 0.014 ,Merge: 0.017
qsort:  0 ,Sort: 0.003 ,Merge: 0.021
qsort:  0.004 ,Sort: 0.009 ,Merge: 0.017
qsort:  0.003 ,Sort: 0.015 ,Merge: 0.018
qsort:  0.008 ,Sort: 0.01 ,Merge: 0.017
qsort:  0.004 ,Sort: 0.006 ,Merge: 0.021
qsort:  0.009 ,Sort: 0.009 ,Merge: 0.023
qsort:  0 ,Sort: 0.005 ,Merge: 0.02
qsort:  0.007 ,Sort: 0.007 ,Merge: 0.018
qsort:  0.011 ,Sort: 0.017 ,Merge: 0.039
qsort:  0 ,Sort: 0.012 ,Merge: 0.02
